text,intent
Merhaba,selamlama
Hey,selamlama
İyi günler lütfen,selamlama
Herkese merhaba olur mu?,selamlama
Hey,selamlama
Herkese merhaba,selamlama
Nasılsınız?,selamlama
Günaydın,selamlama
Selam,selamlama
Selamlar lütfen,selamlama
Selam olur mu?,selamlama
Selam lütfen,selamlama
Günaydın,selamlama
Merhaba,selamlama
Merhaba lütfen,selamlama
Hoş geldiniz,selamlama
Selamlar olur mu?,selamlama
Selam lütfen,selamlama
"Merhaba, size nasıl yardımcı olabilirim? lütfen",selamlama
Merhaba lütfen,selamlama
Hey lütfen,selamlama
Merhaba lütfen,selamlama
Hoş geldiniz,selamlama
Günaydın lütfen,selamlama
Selamlar,selamlama
Hoş geldiniz,selamlama
"Merhaba, size nasıl yardımcı olabilirim? olur mu?",selamlama
"Merhaba, size nasıl yardımcı olabilirim? lütfen",selamlama
Hey lütfen,selamlama
"Merhaba, size nasıl yardımcı olabilirim? lütfen",selamlama
Hey,selamlama
Selamlar,selamlama
İyi günler,selamlama
Hey,selamlama
Selam,selamlama
Hoş geldiniz lütfen,selamlama
Herkese merhaba,selamlama
Merhaba,selamlama
Merhaba,selamlama
Merhaba lütfen,selamlama
İyi günler olur mu?,selamlama
Hoş geldiniz lütfen,selamlama
Merhaba lütfen,selamlama
Hoş geldiniz olur mu?,selamlama
"Merhaba, size nasıl yardımcı olabilirim?",selamlama
İyi günler lütfen,selamlama
İyi günler,selamlama
Herkese merhaba olur mu?,selamlama
Nasılsınız? lütfen,selamlama
Hoş geldiniz,selamlama
Hey olur mu?,selamlama
"Merhaba, size nasıl yardımcı olabilirim?",selamlama
İyi günler lütfen,selamlama
Nasılsınız? lütfen,selamlama
Hey,selamlama
Hoş geldiniz lütfen,selamlama
Herkese merhaba,selamlama
Herkese merhaba olur mu?,selamlama
Nasılsınız? lütfen,selamlama
Merhaba olur mu?,selamlama
Günaydın,selamlama
Nasılsınız? lütfen,selamlama
Hey,selamlama
Nasılsınız? olur mu?,selamlama
Günaydın,selamlama
Herkese merhaba olur mu?,selamlama
Hoş geldiniz lütfen,selamlama
Hoş geldiniz,selamlama
Selamlar lütfen,selamlama
Hey,selamlama
Nasılsınız?,selamlama
Günaydın lütfen,selamlama
Herkese merhaba olur mu?,selamlama
Merhaba,selamlama
Merhaba,selamlama
Günaydın olur mu?,selamlama
Herkese merhaba lütfen,selamlama
Hey olur mu?,selamlama
Hey lütfen,selamlama
Nasılsınız? olur mu?,selamlama
Selam,selamlama
Herkese merhaba lütfen,selamlama
Selam,selamlama
İyi günler lütfen,selamlama
İyi günler,selamlama
Hey,selamlama
İyi günler,selamlama
"Merhaba, size nasıl yardımcı olabilirim? olur mu?",selamlama
İyi günler,selamlama
Herkese merhaba,selamlama
Merhaba lütfen,selamlama
"Merhaba, size nasıl yardımcı olabilirim?",selamlama
Hey lütfen,selamlama
Selamlar,selamlama
Herkese merhaba,selamlama
Günaydın olur mu?,selamlama
Hoş geldiniz,selamlama
Selamlar olur mu?,selamlama
Hoş geldiniz lütfen,selamlama
Hoş geldiniz lütfen,selamlama
Hoş geldiniz lütfen,selamlama
Merhaba,selamlama
Selam,selamlama
Selamlar olur mu?,selamlama
Günaydın,selamlama
Herkese merhaba,selamlama
Nasılsınız? lütfen,selamlama
"Merhaba, size nasıl yardımcı olabilirim? olur mu?",selamlama
Herkese merhaba lütfen,selamlama
Hoş geldiniz,selamlama
Selam lütfen,selamlama
Hoş geldiniz lütfen,selamlama
Hoş geldiniz,selamlama
Herkese merhaba lütfen,selamlama
Selam,selamlama
Nasılsınız?,selamlama
Selam lütfen,selamlama
Hoş geldiniz,selamlama
Hoş geldiniz,selamlama
Günaydın,selamlama
Nasılsınız?,selamlama
Herkese merhaba olur mu?,selamlama
Merhaba,selamlama
Selamlar lütfen,selamlama
Herkese merhaba lütfen,selamlama
Merhaba,selamlama
Hey,selamlama
Hoş geldiniz,selamlama
"Merhaba, size nasıl yardımcı olabilirim? lütfen",selamlama
Günaydın,selamlama
Selamlar lütfen,selamlama
Hey,selamlama
Nasılsınız? lütfen,selamlama
Günaydın,selamlama
Günaydın,selamlama
Günaydın,selamlama
Hoş geldiniz,selamlama
Günaydın,selamlama
İyi günler lütfen,selamlama
Günaydın lütfen,selamlama
"Merhaba, size nasıl yardımcı olabilirim?",selamlama
Selamlar lütfen,selamlama
Selam,selamlama
Nasılsınız?,selamlama
"Merhaba, size nasıl yardımcı olabilirim?",selamlama
Herkese merhaba,selamlama
Selam olur mu?,selamlama
